Exercise,Raw_MAD_deg,Normalized_MAD,Frames
E1,8.5791,0.0788,5695
E2,9.7149,0.0813,4244
E3,9.8152,0.1041,5518
E4,9.7910,0.0961,5519
E5,9.1629,0.0924,5368
E6,8.6487,0.0709,3988
E7,6.7613,0.0533,5004
E8,14.9695,0.1064,4311
E9,7.1608,0.0591,5636
E10,7.2386,0.0578,4192

Overall,9.1164,0.0804,49475
Body_MPJPE_mm,184.70

Joint,Raw_MAD_deg,Normalized_MAD
Cervical Pitch,5.4866,0.1219
Trunk Flex,5.3817,0.0897
L Sho Flex,9.5055,0.0528
R Sho Flex,14.9579,0.0831
L Sho Abd,9.5792,0.0532
R Sho Abd,16.6683,0.0926
L Hip,5.8292,0.0486
R Hip,8.1473,0.0679
L Knee,9.1588,0.0654
R Knee,12.7882,0.0913
L Ankle,6.2906,0.1048
R Ankle,5.6029,0.0934
