Exercise,Raw_MAD_deg,Normalized_MAD,Frames
E1,5.7391,0.0511,5695
E2,5.4868,0.0525,4244
E3,5.3036,0.0571,5518
E4,7.1093,0.0772,5519
E5,4.8810,0.0516,5368
E6,4.6249,0.0447,3988
E7,5.2423,0.0400,5004
E8,7.6882,0.0626,4311
E9,3.7507,0.0365,5636
E10,5.4753,0.0458,4192

Overall,5.5096,0.0521,49475
Body_MPJPE_mm,152.88

Joint,Raw_MAD_deg,Normalized_MAD
Cervical Pitch,4.4769,0.0995
Trunk Flex,3.1624,0.0527
L Sho Flex,5.8603,0.0326
R Sho Flex,7.8130,0.0434
L Sho Abd,7.4542,0.0414
R Sho Abd,10.1765,0.0565
L Hip,4.1374,0.0345
R Hip,3.9947,0.0333
L Knee,4.1940,0.0300
R Knee,4.8278,0.0345
L Ankle,5.0755,0.0846
R Ankle,4.9420,0.0824
