exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0060,0.0077,0.6349,0.006,+0.0000
Ex02,HS,0.0077,0.0110,0.8777,0.008,-0.0003
Ex03,IL,0.0081,0.0149,0.8979,0.009,-0.0009
Ex04,SL,0.0067,0.0082,0.7704,0.006,+0.0007
Ex05,SS,0.0083,0.0110,0.8970,0.003,+0.0053
Ex06,SLR,0.0132,0.0155,1.5208,0.004,+0.0092
Ex07,SA,0.0058,0.0076,0.6049,0.009,-0.0032
Ex08,SE,0.0025,0.0030,0.2668,0.013,-0.0105
Ex09,SIR,0.0049,0.0091,0.5908,0.006,-0.0011
Ex10,SS2,0.0076,0.0103,0.8342,0.028,-0.0204
AVERAGE,,0.0071,0.0098,0.7895,0.009,-0.0021
