exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0068,0.0094,0.7154,0.006,+0.0008
Ex02,HS,0.0085,0.0118,0.9552,0.008,+0.0005
Ex03,IL,0.0078,0.0095,0.8384,0.009,-0.0012
Ex04,SL,0.0076,0.0111,0.8976,0.006,+0.0016
Ex05,SS,0.0071,0.0101,0.7810,0.003,+0.0041
Ex06,SLR,0.0138,0.0174,1.5719,0.004,+0.0098
Ex07,SA,0.0061,0.0077,0.6418,0.009,-0.0029
Ex08,SE,0.0035,0.0048,0.3918,0.013,-0.0095
Ex09,SIR,0.0055,0.0094,0.6466,0.006,-0.0005
Ex10,SS2,0.0067,0.0093,0.7436,0.028,-0.0213
AVERAGE,,0.0073,0.0100,0.8183,0.009,-0.0019
