exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0067,0.0076,0.7285,0.006,+0.0007
Ex02,HS,0.0068,0.0108,0.7947,0.008,-0.0012
Ex03,IL,0.0086,0.0109,1.2659,0.009,-0.0004
Ex04,SL,0.0043,0.0054,0.4700,0.006,-0.0017
Ex05,SS,0.0070,0.0092,0.7663,0.003,+0.0040
Ex06,SLR,0.0089,0.0101,2.2641,0.004,+0.0049
Ex07,SA,0.0053,0.0065,0.6189,0.009,-0.0037
Ex08,SE,0.0091,0.0123,1.0740,0.013,-0.0039
Ex09,SIR,0.0065,0.0086,0.7328,0.006,+0.0005
Ex10,SS2,0.0075,0.0156,0.9206,0.028,-0.0205
AVERAGE,,0.0071,0.0097,0.9636,0.009,-0.0021
