exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0085,0.0106,0.9136,0.006,+0.0025
Ex02,HS,0.0108,0.0147,1.2627,0.008,+0.0028
Ex03,IL,0.0111,0.0152,1.6842,0.009,+0.0021
Ex04,SL,0.0059,0.0099,0.6451,0.006,-0.0001
Ex05,SS,0.0045,0.0055,0.4839,0.003,+0.0015
Ex06,SLR,0.0105,0.0156,3.8689,0.004,+0.0065
Ex07,SA,0.0038,0.0046,0.4227,0.009,-0.0052
Ex08,SE,0.0061,0.0096,0.7556,0.013,-0.0069
Ex09,SIR,0.0074,0.0082,0.8227,0.006,+0.0014
Ex10,SS2,0.0080,0.0132,1.0749,0.028,-0.0200
AVERAGE,,0.0077,0.0107,1.1934,0.009,-0.0015
