exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0044,0.0050,0.4812,0.006,-0.0016
Ex02,HS,0.0035,0.0040,0.3989,0.008,-0.0045
Ex03,IL,0.0042,0.0059,0.6186,0.009,-0.0048
Ex04,SL,0.0059,0.0091,0.6500,0.006,-0.0001
Ex05,SS,0.0048,0.0055,0.5075,0.003,+0.0018
Ex06,SLR,0.0057,0.0065,1.9527,0.004,+0.0017
Ex07,SA,0.0050,0.0052,0.5496,0.009,-0.0040
Ex08,SE,0.0056,0.0068,0.6683,0.013,-0.0074
Ex09,SIR,0.0045,0.0056,0.5133,0.006,-0.0015
Ex10,SS2,0.0041,0.0048,0.4969,0.028,-0.0239
AVERAGE,,0.0048,0.0058,0.6837,0.009,-0.0044
