exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0103,0.0128,1.1010,0.006,+0.0043
Ex02,HS,0.0090,0.0111,1.0416,0.008,+0.0010
Ex03,IL,0.0084,0.0115,1.2563,0.009,-0.0006
Ex04,SL,0.0064,0.0089,0.6986,0.006,+0.0004
Ex05,SS,0.0059,0.0072,0.6424,0.003,+0.0029
Ex06,SLR,0.0099,0.0136,2.0906,0.004,+0.0059
Ex07,SA,0.0061,0.0100,0.8317,0.009,-0.0029
Ex08,SE,0.0067,0.0094,0.7735,0.013,-0.0063
Ex09,SIR,0.0058,0.0076,0.6531,0.006,-0.0002
Ex10,SS2,0.0111,0.0155,1.4479,0.028,-0.0169
AVERAGE,,0.0080,0.0108,1.0537,0.009,-0.0012
