exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0123,0.0162,1.3242,0.006,+0.0063
Ex02,HS,0.0102,0.0141,1.1623,0.008,+0.0022
Ex03,IL,0.0093,0.0118,1.3682,0.009,+0.0003
Ex04,SL,0.0119,0.0187,1.3017,0.006,+0.0059
Ex05,SS,0.0054,0.0065,0.5692,0.003,+0.0024
Ex06,SLR,0.0073,0.0093,2.9334,0.004,+0.0033
Ex07,SA,0.0048,0.0061,0.5682,0.009,-0.0042
Ex08,SE,0.0080,0.0103,0.9366,0.013,-0.0050
Ex09,SIR,0.0070,0.0094,0.7815,0.006,+0.0010
Ex10,SS2,0.0071,0.0112,0.8972,0.028,-0.0209
AVERAGE,,0.0083,0.0114,1.1842,0.009,-0.0009
