exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0063,0.0076,0.6823,0.006,+0.0003
Ex02,HS,0.0058,0.0109,0.6905,0.008,-0.0022
Ex03,IL,0.0073,0.0111,1.1975,0.009,-0.0017
Ex04,SL,0.0060,0.0097,0.6528,0.006,-0.0000
Ex05,SS,0.0056,0.0082,0.5964,0.003,+0.0026
Ex06,SLR,0.0071,0.0088,2.4952,0.004,+0.0031
Ex07,SA,0.0054,0.0069,0.5970,0.009,-0.0036
Ex08,SE,0.0107,0.0151,1.2392,0.013,-0.0023
Ex09,SIR,0.0066,0.0078,0.7319,0.006,+0.0006
Ex10,SS2,0.0084,0.0103,1.0360,0.028,-0.0196
AVERAGE,,0.0069,0.0096,0.9919,0.009,-0.0023
