exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0109,0.0189,1.1847,0.006,+0.0049
Ex02,HS,0.0086,0.0198,1.0162,0.008,+0.0006
Ex03,IL,0.0142,0.0190,2.1966,0.009,+0.0052
Ex04,SL,0.0066,0.0094,0.7257,0.006,+0.0006
Ex05,SS,0.0071,0.0079,0.7682,0.003,+0.0041
Ex06,SLR,0.0078,0.0094,2.5894,0.004,+0.0038
Ex07,SA,0.0034,0.0048,0.4084,0.009,-0.0056
Ex08,SE,0.0142,0.0186,1.7011,0.013,+0.0012
Ex09,SIR,0.0081,0.0096,0.8851,0.006,+0.0021
Ex10,SS2,0.0071,0.0095,0.9018,0.028,-0.0209
AVERAGE,,0.0088,0.0127,1.2377,0.009,-0.0004
