exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0300,0.0460,3.4100,0.006,+0.0240
Ex02,HS,0.0333,0.0460,3.9275,0.008,+0.0253
Ex03,IL,0.0279,0.0433,4.0442,0.009,+0.0189
Ex04,SL,0.0230,0.0312,2.5588,0.006,+0.0170
Ex05,SS,0.0325,0.0585,4.0738,0.003,+0.0295
Ex06,SLR,0.0838,0.2503,115.4882,0.004,+0.0798
Ex07,SA,0.0396,0.1220,7.1677,0.009,+0.0306
Ex08,SE,0.0552,0.0884,7.3411,0.013,+0.0422
Ex09,SIR,0.0494,0.0679,5.6238,0.006,+0.0434
Ex10,SS2,0.0389,0.0601,5.1541,0.028,+0.0109
AVERAGE,,0.0414,0.0814,15.8789,0.009,+0.0322
