exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0065,0.0078,0.7060,0.006,+0.0005
Ex02,HS,0.0053,0.0072,0.6377,0.008,-0.0027
Ex03,IL,0.0093,0.0140,1.4888,0.009,+0.0003
Ex04,SL,0.0044,0.0060,0.4859,0.006,-0.0016
Ex05,SS,0.0059,0.0086,0.6474,0.003,+0.0029
Ex06,SLR,0.0073,0.0089,1.9999,0.004,+0.0033
Ex07,SA,0.0053,0.0064,0.5618,0.009,-0.0037
Ex08,SE,0.0068,0.0083,0.7740,0.013,-0.0062
Ex09,SIR,0.0062,0.0080,0.7083,0.006,+0.0002
Ex10,SS2,0.0069,0.0093,0.8292,0.028,-0.0211
AVERAGE,,0.0064,0.0084,0.8839,0.009,-0.0028
