exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0968,0.1025,11.2090,0.006,+0.0908
Ex02,HS,0.3223,0.4265,148.7628,0.008,+0.3143
Ex03,IL,0.1389,0.1949,26.1042,0.009,+0.1299
Ex04,SL,0.0718,0.1099,9.7054,0.006,+0.0658
Ex05,SS,0.0610,0.0987,8.1174,0.003,+0.0580
Ex06,SLR,0.1224,0.1707,18.6446,0.004,+0.1184
Ex07,SA,0.0746,0.0979,9.4595,0.009,+0.0656
Ex08,SE,0.0726,0.1117,13.3894,0.013,+0.0596
Ex09,SIR,0.4436,0.6084,2687397376.0000,0.006,+0.4376
Ex10,SS2,0.0584,0.0717,6.8605,0.028,+0.0304
AVERAGE,,0.1462,0.1993,268739776.0000,0.009,+0.1370
