exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0314,0.0450,3.5506,0.006,+0.0254
Ex02,HS,0.0258,0.0416,6.3350,0.008,+0.0178
Ex03,IL,0.0213,0.0339,2.8582,0.009,+0.0123
Ex04,SL,0.0218,0.0312,2.4783,0.006,+0.0158
Ex05,SS,0.0176,0.0281,1.9958,0.003,+0.0146
Ex06,SLR,0.0247,0.0419,3.0521,0.004,+0.0207
Ex07,SA,0.0134,0.0183,1.5075,0.009,+0.0044
Ex08,SE,0.0221,0.0371,2.8339,0.013,+0.0091
Ex09,SIR,0.0230,0.0313,1583238.5000,0.006,+0.0170
Ex10,SS2,0.0114,0.0184,1.2823,0.028,-0.0166
AVERAGE,,0.0213,0.0327,158326.4375,0.009,+0.0121
