exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0149,0.0199,1.6214,0.006,+0.0089
Ex02,HS,0.0124,0.0173,3.1586,0.008,+0.0044
Ex03,IL,0.0092,0.0112,1.1529,0.009,+0.0002
Ex04,SL,0.0104,0.0126,1.1518,0.006,+0.0044
Ex05,SS,0.0051,0.0065,0.5497,0.003,+0.0021
Ex06,SLR,0.0139,0.0166,1.5181,0.004,+0.0099
Ex07,SA,0.0074,0.0129,0.8342,0.009,-0.0016
Ex08,SE,0.0059,0.0095,0.8122,0.013,-0.0071
Ex09,SIR,0.0090,0.0110,85215.5000,0.006,+0.0030
Ex10,SS2,0.0058,0.0068,0.6246,0.028,-0.0222
AVERAGE,,0.0094,0.0124,8522.6924,0.009,+0.0002
