exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.4139,0.4167,44.6804,0.006,+0.4079
Ex02,HS,0.3780,0.3934,66.7308,0.008,+0.3700
Ex03,IL,0.3908,0.4157,43.0756,0.009,+0.3818
Ex04,SL,0.4167,0.4224,44.8610,0.006,+0.4107
Ex05,SS,0.4461,0.4506,46.7906,0.003,+0.4431
Ex06,SLR,0.4137,0.4235,45.0677,0.004,+0.4097
Ex07,SA,0.4006,0.4052,43.2266,0.009,+0.3916
Ex08,SE,0.3714,0.3887,40.6778,0.013,+0.3584
Ex09,SIR,0.3867,0.3936,139799968.0000,0.006,+0.3807
Ex10,SS2,0.4334,0.4376,45.5643,0.028,+0.4054
AVERAGE,,0.4051,0.4147,13980038.0000,0.009,+0.3959
