exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0219,0.0297,2.4054,0.006,+0.0159
Ex02,HS,0.0117,0.0210,3.6615,0.008,+0.0037
Ex03,IL,0.0115,0.0167,1.5759,0.009,+0.0025
Ex04,SL,0.0120,0.0164,1.3438,0.006,+0.0060
Ex05,SS,0.0073,0.0097,0.8007,0.003,+0.0043
Ex06,SLR,0.0115,0.0136,1.2726,0.004,+0.0075
Ex07,SA,0.0074,0.0094,0.8172,0.009,-0.0016
Ex08,SE,0.0057,0.0098,0.8409,0.013,-0.0073
Ex09,SIR,0.0074,0.0100,309991.8438,0.006,+0.0014
Ex10,SS2,0.0064,0.0082,0.6896,0.028,-0.0216
AVERAGE,,0.0103,0.0145,31000.5254,0.009,+0.0011
