exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0124,0.0157,1.3284,0.006,+0.0064
Ex02,HS,0.0080,0.0106,0.9294,0.008,+0.0000
Ex03,IL,0.0080,0.0092,1.0269,0.009,-0.0010
Ex04,SL,0.0094,0.0152,1.0227,0.006,+0.0034
Ex05,SS,0.0048,0.0059,0.5341,0.003,+0.0018
Ex06,SLR,0.0086,0.0102,3.1735,0.004,+0.0046
Ex07,SA,0.0053,0.0097,0.6862,0.009,-0.0037
Ex08,SE,0.0063,0.0095,0.7494,0.013,-0.0067
Ex09,SIR,0.0071,0.0103,0.7918,0.006,+0.0011
Ex10,SS2,0.0072,0.0125,0.9786,0.028,-0.0208
AVERAGE,,0.0077,0.0109,1.1221,0.009,-0.0015
