exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0373,0.0469,4.1530,0.006,+0.0313
Ex02,HS,0.1168,0.2353,39.5922,0.008,+0.1088
Ex03,IL,0.0731,0.1162,10.9276,0.009,+0.0641
Ex04,SL,0.0368,0.0506,4.2442,0.006,+0.0308
Ex05,SS,0.0331,0.0391,3.5135,0.003,+0.0301
Ex06,SLR,0.0377,0.0574,4.6728,0.004,+0.0337
Ex07,SA,0.0320,0.0509,3.7054,0.009,+0.0230
Ex08,SE,0.0552,0.1022,8.3922,0.013,+0.0422
Ex09,SIR,0.0941,0.2215,231529296.0000,0.006,+0.0881
Ex10,SS2,0.0243,0.0309,2.5828,0.028,-0.0037
AVERAGE,,0.0540,0.0951,23152938.0000,0.009,+0.0448
