exercise,name,mad,rmse,mape,paper_mad,delta
Ex01,DS,0.0933,0.1328,13.7333,0.006,+0.0873
Ex02,HS,0.0779,0.1044,10.2145,0.008,+0.0699
Ex03,IL,0.0602,0.1036,11.7898,0.009,+0.0512
Ex04,SL,0.0760,0.1109,10.0785,0.006,+0.0700
Ex05,SS,0.0356,0.0594,4.6850,0.003,+0.0326
Ex06,SLR,0.1204,0.1717,18.7698,0.004,+0.1164
Ex07,SA,0.0574,0.0837,7.3423,0.009,+0.0484
Ex08,SE,0.0772,0.1118,15.2649,0.013,+0.0642
Ex09,SIR,0.0578,0.0783,7.1173,0.006,+0.0518
Ex10,SS2,0.0516,0.0778,6.1950,0.028,+0.0236
AVERAGE,,0.0707,0.1034,10.5190,0.009,+0.0615
