Exercise,3D_KP,Geo_ROM,Learned_ROM,GCADA_ROM,ROM_Dev,Combined,N_test
Deep Squat,66.5145,71.0807,66.3623,70.7763,76.2557,78.8432,657
Hurdle Step,80.3340,77.5510,66.7904,60.2968,65.3061,73.0983,539
Inline Lunge,65.3666,73.1669,48.5179,51.0140,54.2902,84.7114,641
Side Lunge,59.3939,62.8788,45.3030,48.4848,43.6364,48.4848,660
Sit to Stand,78.1794,66.6667,68.9424,71.0843,71.2182,84.7390,747
Str Leg Raise,91.2955,81.5789,86.2348,69.8381,67.8138,70.4453,494
Sho Abduction,75.1286,47.6844,62.0926,60.0343,64.4940,70.1544,583
Sho Extension,73.8372,50.0000,76.3566,73.8372,65.8915,61.6279,516
Sho Int-Ext Rot,67.7711,32.6807,71.3855,39.0060,50.1506,72.8916,664
Sho Scaption,83.2669,54.5817,81.0757,67.9283,68.5259,83.2669,502
AVERAGE,74.1088,61.7870,67.3061,61.2300,62.7582,72.8263,6003
